event_date,distance_km,fuel_liter_est,co2_kg_est
2025-03-20,71678.3578512926,20152.155198361932,54007.77593160998
2025-03-21,135196.19176829912,44557.418195123755,119413.88076293167
2025-03-22,143864.64765222595,46084.466842623275,123506.37113823037
2025-03-23,124632.8473152241,39608.995248262756,106152.10726534418
2025-03-24,63948.51297924551,17962.691134188746,48140.01223962584
2025-03-25,84161.05818724862,23632.572292429617,63335.29374371137
2025-03-26,103975.90603861949,38651.12769081346,103585.02221138007
2025-03-27,71026.46549747825,19946.815839293908,53457.46644930768
2025-03-28,77299.1759778265,21708.411273791422,58178.542213761015
2025-03-29,78783.4447876185,22118.23504053318,59276.86990862893
2025-03-30,79523.00345322557,22314.835966903163,59803.76039130048
2025-03-31,81831.52701609593,22974.571564506863,61571.8517928784
2025-04-01,86446.75712807072,29421.820495859803,78850.47892890428
2025-04-02,79298.67368683734,22265.829632314457,59672.42341460275
2025-04-03,84763.14833596622,23801.728034070544,63788.63113130906
2025-04-04,81035.93885608167,22765.81487970287,61012.383877603694
2025-04-05,77052.26283498302,21633.15159379525,57976.84627137127
2025-04-06,75221.04035919652,21108.170800575026,56569.89774554107
2025-04-07,72998.79833278943,20484.329533181044,54898.0031489252
2025-04-08,77424.67082504655,21741.354831013035,58266.83094711494
2025-04-09,81462.06592817802,22876.88095988985,61310.040972504794
2025-04-10,79127.91381950118,22246.605869460334,59620.903730153696
2025-04-11,79639.32629712722,22371.71086319562,59956.18511336427
2025-04-12,78182.10056581568,21955.307658428395,58840.2245245881
2025-04-13,78235.84205453917,21960.79327527097,58854.925977726205
2025-04-14,117781.47291225365,33042.47941543103,88553.84483335516
2025-04-15,79597.39098769918,22356.927976555773,59916.566977169474
2025-04-16,78861.33872023362,22147.387841665415,59354.99941566332
2025-04-17,78168.5645244297,21958.996566840317,58850.11079913205
2025-04-18,119084.6995949333,33434.18938658133,89603.62755603797
2025-04-19,78962.23174474911,22167.73488852975,59409.529501259734
2025-04-20,79362.09248665141,22271.671896262396,59688.08068198322
2025-04-21,55388.940711536285,15533.48839923016,41629.74890993683
2025-04-22,45649.68523787884,12813.302866606076,34339.651682504285
2025-04-23,79085.8422377005,22207.48482655614,59516.05933517047
2025-04-24,51274.85727221806,14384.962536221057,38551.69959707243
2025-04-25,92314.75033762614,25944.91559453532,69532.37379335467
2025-04-26,79754.38833129454,22395.871732762473,60020.93624380344
2025-04-27,78629.35348406392,22070.7789755379,59149.68765444158
2025-04-28,79710.2204726235,22384.47973233458,59990.40568265668
2025-04-29,78845.9611184641,22160.98811316995,59391.44814329546
2025-04-30,35299.875398372875,9941.364111544404,26642.855818939006
2025-05-01,71415.37292934443,20044.942420216445,53720.44568618007
2025-05-02,71890.08085973279,20177.579140725185,54075.91209714349
2025-05-03,70359.51538970387,19743.903309117086,52913.66086843379
2025-05-04,74030.93045736085,20774.009028061042,55674.344195203594
2025-05-05,75478.39806376808,21205.56945785506,56830.92614705157
2025-05-06,80450.37421753032,22594.67928090849,60553.74047283476
2025-05-07,78788.98532600295,22130.811891280828,59310.575868632615
2025-05-08,79184.00781198071,22241.038687354605,59605.98368211034
2025-05-09,78877.77259550922,22158.939326742584,59385.95739567013
2025-05-10,77270.66795485551,21699.953027359545,58155.87411332358
2025-05-11,12356.599970122516,3466.2774916343046,9289.623677579937
