route_id,distance_km,fuel_liter_est,co2_kg_est,unique_active_buses,route_name,duration_min,distance_km_ref,stops_inbound_outbound,connected_metro1
32,769641.0532905406,215500.6134213514,577541.6439692217,71,Ben xe Mien Tay - Ben xe Nga tu Ga,80,24.8,71/74,
30,405347.0984206794,113889.01355779024,305222.55633487785,65,Cho Tan Huong - Ben xe Van Thanh,50,18.3,49/56,
72,354348.4696940694,99217.57151433943,265903.0916584297,40,Ben xe Sai Gon - Hiep Phuoc,55,21.6,42/41,
151,300217.6950409849,94040.34611147577,252028.12757875508,18,Ben xe Mien Tay - Ben xe An Suong,50,17.2,39/35,
91,326634.6074047591,91798.06607333255,246018.81707653124,51,Ben xe Mien Tay - Cho Thu Duc,80,25.1,67/65,
45,280319.97531306447,78757.39308765806,211069.8134749236,47,Dai hoc Kinh Te - Ben xe Mien Dong,70-80,22.3,56/58,Y
88,221587.91477779124,62046.13713778155,166283.64752925458,30,Ben Thanh - Cho Long Phuoc,65,23.6,55/53,Y
167V,199086.95966219174,61129.2232054137,163826.31819050873,19,Dai hoc Nong Lam - Khu che xuat Linh Trung,55,13.15,37,Y
93,210187.142579682,58986.004422310965,158082.4918517934,30,Ben Thanh - Ben xe Mien Dong moi,70-80,26.2,55/55,Y
152,185747.8403345219,52524.542793666136,140765.77468702526,30,Trung Son - San bay Tan Son Nhat,50-55,14.55,41/35,Y
